Customer Code,Regular.VIC,Express.VIC,Regular.NSW,Express.NSW,International,ELMS,Wine.VIC,Wine.NSW,OnDemand,APGL,All.services,"Road.Express,Priority,Local,Fees.and.Surcharges",Road.Express,VIC.Borders,NSW.Borders,VIC.Cartage,NSW.Cartage,SEKO,All.Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBT,15.00%,15.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP,12.50%,12.50%,12.50%,12.50%,12.50%,,,,,,,,15.00%,12.50%,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMY,10.00%,10.00%,,,10.00%,,,,,,,15.00%,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,15.00%,12.50%,,,15.00%,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HXB,15.00%,15.00%,,,15.00%,,,,,,15.00%,15.00%,,15.00%,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITW,,,15.00%,15.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFX,,,17.50%,17.50%,17.50%,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLC,10.00%,15.00%,,,15.00%,,,,,,,15.00%,15.00%,20.00%,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOS,12.50%,12.50%,,,12.50%,,,,,,,12.50%,,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJF,,,17.50%,17.50%,12.50%,,,,,,,,,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNF,,,15.00%,15.00%,15.00%,,,,,,10%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTG,10.00%,10.00%,7.50%,10.00%,15.00%,,,,,,,21.00%,10.00%,,,,17.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBD,15.00%,15.00%,,,15.00%,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIT,20.00%,20.00%,20.00%,20.00%,20.00%,,,,,,,,21.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVO,,,12.50%,12.50%,15.00%,,,,,,,21.00%,10.00%,,15.00%,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP,15.00%,15.00%,,,15.00%,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBD,10.00%,10.00%,,,10.00%,10.00%,,,,,10.00%,21.00%,21.00%,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCB,12.50%,12.50%,,,12.50%,,,,,,,,,12.50%,,,,,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,7.50%,10.00%,7.50%,10.00%,,10.00%,,,,,,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDY,,,20.00%,20.00%,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMH,15.00%,15.00%,15.00%,15.00%,15.00%,,,,,,,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRY,10.00%,10.00%,,,10.00%,,,,20.00%,,15.00%,15.00%,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSB,,,15.00%,15.00%,15.00%,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAW,10.00%,10.00%,,,10.00%,,,,,,,21.00%,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIM,,,15.00%,15.00%,15.00%,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOG,15.00%,15.00%,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NXP,,,15.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLF,,,,,,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORE,10.00%,10.00%,,,12.50%,,7.50%,7.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
