"","BILLING.DOC","DESCRIPTION","SERVICE.DATE","avg_division"
"17395",7817314725,"Parcel Post with Signature",16022024,0.0879071158560099
"17396",7817314751,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17397",7817314751,"Parcel Post with Signature",16022024,0.0882520352823912
"17398",7817314764,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17399",7817314764,"Parcel Post with Signature",16022024,0.0882016036655212
"17400",7817315052,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17401",7817315052,"Parcel Post with Signature",16022024,0.0882842804140256
"17402",7817317661,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17403",7817317661,"Parcel Post with Signature",16022024,0.0880265998910067
"17404",7817317843,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17405",7817317843,"Parcel Post with Signature",16022024,0.0882792758089864
"17406",7817317875,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17407",7817317875,"AP Security Mgt Charge",16022024,NA
"17408",7817317875,"Express Post with Signature",16022024,0.0879904875148633
"17409",7817317875,"Parcel Post with Signature",16022024,0.088338514579868
"17410",7817317926,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17411",7817317926,"Parcel Post with Signature",16022024,0.0881289257862206
"17412",7817318962,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17413",7817318962,"AP Security Mgt Charge",16022024,NA
"17414",7817318962,"Express Post with Signature",16022024,0.08810288634967
"17415",7817318962,"Parcel Post with Signature",16022024,0.0882435556038922
"17416",7817318963,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17417",7817318963,"Parcel Post with Signature",16022024,0.0880693856805622
"17418",7817319053,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17419",7817319053,"AP Security Mgt Charge",16022024,NA
"17420",7817319053,"Express Post with Signature",16022024,0.088042049934297
"17421",7817319053,"Parcel Post with Signature",16022024,0.0879491493966546
"17422",7817319056,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17423",7817319056,"AP Security Mgt Charge",16022024,NA
"17424",7817319056,"Express Post with Signature",16022024,0.0883392027765018
"17425",7817319056,"Parcel Post with Signature",16022024,0.0880080319736112
"17426",7817319063,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17427",7817319063,"AP Security Mgt Charge",16022024,NA
"17428",7817319063,"Express Post with Signature",16022024,0.0877531340405015
"17429",7817319063,"Parcel Post with Signature",16022024,0.0876068376068376
"17430",7817319065,"PACK AND TRACK INTERNATIONAL",16022024,0
"17431",7817319067,"PACK AND TRACK INTERNATIONAL",16022024,0
"17432",7817319069,"PACK AND TRACK INTERNATIONAL",16022024,0
"17433",7817319079,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17434",7817319079,"Parcel Post with Signature",16022024,0.0876068376068376
"17435",7817319303,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17436",7817319303,"EPARCEL WINE STD",16022024,0.0879649890590809
"17437",7817319304,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17438",7817319304,"EPARCEL WINE STD",16022024,0.088167617259721
"17439",7817320061,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17440",7817320061,"eParcel Call For Return",16022024,Inf
"17441",7817320062,"AP Parcels Domestic Fuel Surcharge",16022024,NA
"17442",7817320062,"eParcel Call For Return",16022024,Inf
"17443",7817320063,"AP Parcels Domestic Fuel Surcharge",16022024,0
"17444",7817320063,"eParcel Call For Return",16022024,0.088495575221239
